DATE,price_per_kg,day_of_week,month,week_of_year,day_of_month,season,rolling_mean_3,rolling_mean_5,rolling_mean_7,lag_1,lag_3,lag_5,rolling_std_3,rolling_std_5,rolling_std_7
2010-04-26,3000.0,0.0,4.0,17,26.0,1.0,3053.3333333333335,3058.0,3070.0,3080.0,3080.0,3050.0,46.18802153517024,34.92849839314596,45.46060565660462
2010-04-27,3080.0,1.0,4.0,17,27.0,1.0,3053.3333333333335,3064.0,3060.0,3000.0,3080.0,3050.0,46.18802153517024,35.77708763999664,29.999999999978705
2010-04-28,3080.0,2.0,4.0,17,28.0,1.0,3053.3333333333335,3064.0,3064.285714285714,3080.0,3080.0,3080.0,46.18802153517024,35.77708763999664,30.47247001098068
2010-04-29,3080.0,3.0,4.0,17,29.0,1.0,3080.0,3064.0,3068.5714285714284,3080.0,3000.0,3080.0,0.0,35.77708763999664,30.237157840715913
2010-04-30,3080.0,4.0,4.0,17,30.0,1.0,3080.0,3064.0,3068.5714285714284,3080.0,3080.0,3080.0,0.0,35.77708763999664,30.237157840715913
2010-05-01,3080.0,5.0,5.0,17,1.0,1.0,3080.0,3080.0,3068.5714285714284,3080.0,3080.0,3000.0,0.0,0.0,30.237157840715913
2010-05-02,3080.0,6.0,5.0,17,2.0,1.0,3080.0,3080.0,3068.5714285714284,3080.0,3080.0,3080.0,0.0,0.0,30.237157840715913
2010-05-03,3160.0,0.0,5.0,18,3.0,1.0,3106.6666666666665,3096.0,3091.4285714285716,3080.0,3080.0,3080.0,46.18802153517024,35.77708763999664,30.23715784071286
2010-05-04,3090.0,1.0,5.0,18,4.0,1.0,3110.0,3098.0,3092.8571428571427,3160.0,3080.0,3080.0,43.58898943540696,34.92849839314596,29.84084768358045
2010-05-05,3090.0,2.0,5.0,18,5.0,1.0,3113.3333333333335,3100.0,3094.285714285714,3090.0,3080.0,3080.0,40.41451884327408,33.91164991562634,29.35821455577993
2010-05-06,3090.0,3.0,5.0,18,6.0,1.0,3090.0,3102.0,3095.714285714286,3090.0,3160.0,3080.0,0.0,32.71085446759225,28.78491668512979
2010-05-07,3020.0,4.0,5.0,18,7.0,1.0,3066.6666666666665,3090.0,3087.1428571428573,3090.0,3090.0,3080.0,40.41451884327408,49.49747468305833,40.708019567910185
2010-05-08,3020.0,5.0,5.0,18,8.0,1.0,3043.3333333333335,3062.0,3078.5714285714284,3020.0,3090.0,3160.0,40.41451884327408,38.34057902536163,48.10702354422146
2010-05-09,3020.0,6.0,5.0,18,9.0,1.0,3020.0,3048.0,3070.0,3020.0,3090.0,3090.0,0.0,38.34057902536163,52.91502622127877
2010-05-10,2770.0,0.0,5.0,19,10.0,1.0,2936.6666666666665,2984.0,3014.285714285714,3020.0,3020.0,3090.0,144.33756729740648,123.40988615179904,113.2632836737943
2010-05-11,2620.0,1.0,5.0,19,11.0,1.0,2803.3333333333335,2890.0,2947.1428571428573,2770.0,3020.0,3090.0,202.07259421636908,185.7417562100671,180.34358742081432
2010-05-12,2620.0,2.0,5.0,19,12.0,1.0,2670.0,2810.0,2880.0,2620.0,3020.0,3020.0,86.60254037844416,201.24611797498108,204.20577856662078
2010-05-13,2620.0,3.0,5.0,19,13.0,1.0,2620.0,2730.0,2812.8571428571427,2620.0,2770.0,3020.0,0.0,174.64249196572982,200.89087300607505
2010-05-14,2590.0,4.0,5.0,19,14.0,1.0,2610.0,2644.0,2751.4285714285716,2620.0,2620.0,3020.0,17.320508075690242,71.62401831787993,192.56415133911312
2010-05-15,2590.0,5.0,5.0,19,15.0,1.0,2600.0,2608.0,2690.0,2590.0,2620.0,2770.0,17.320508075690242,16.431676725154983,158.11388300842165
2010-05-16,2590.0,6.0,5.0,19,16.0,1.0,2590.0,2602.0,2628.5714285714284,2590.0,2620.0,2620.0,0.0,16.431676725154983,64.1426980589915
2010-05-17,2550.0,0.0,5.0,20,17.0,1.0,2576.6666666666665,2588.0,2597.1428571428573,2590.0,2590.0,2620.0,23.094010767586067,24.899799195977465,25.63479777849425
2010-05-18,2550.0,1.0,5.0,20,18.0,1.0,2563.3333333333335,2574.0,2587.1428571428573,2550.0,2590.0,2620.0,23.094010767586067,21.908902300206645,28.70208222082551
2010-05-19,2490.0,2.0,5.0,20,19.0,1.0,2530.0,2554.0,2568.5714285714284,2550.0,2590.0,2590.0,34.64101615137828,40.98780306383839,42.59443290252082
2010-05-20,2540.0,3.0,5.0,20,20.0,1.0,2526.6666666666665,2544.0,2557.1428571428573,2490.0,2550.0,2590.0,32.145502536644,35.77708763999664,36.83941988067365
2010-05-21,2540.0,4.0,5.0,20,21.0,1.0,2523.3333333333335,2534.0,2550.0,2540.0,2550.0,2590.0,28.86751345948212,25.099800796022265,34.15650255322451
